"Sample.number","Plate.number","ID","Dung.batch","Batch","Pop","NC","Temp","Date.Hatching","Date.First.Transfer","Date.3rd.Ins","Mass.3rd.Ins","Date.PP","Sex","Date.Pupa","Days.to.Pupa","Mass.Pupa","Day.Adult","Adult.Body.Size","Day.Dead","Exclude.date.3rd","Exclude.Mass.3rd","Exclude.Mass.pupa","Exclude.adult","Exclude.death","Exclude.all","Notes"
"507","25.2","25-A3",2,19,"W. Australia","+","Fluctuating","2017-09-23","2017-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-09-30","No","Maybe","Maybe","No","Maybe","Maybe","Kinked 9/26; Dead 9/30"
"508","25.2","25-A4",2,19,"W. Australia","+","Fluctuating","2017-09-23","2017-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-10","No","No","No","No","No","No","Dead 10/10"
"509","25.2","25-B1",2,19,"N. Carolina","+","Fluctuating","2017-09-23","2017-09-24","2017-10-06",0.0556,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Animal exposed, no BB to modify"
"510","25.2","25-B2",2,19,"N. Carolina","+","Fluctuating","2017-09-23","2017-09-24","2017-10-04",0.0491,NA,NA,NA,NA,NA,NA,NA,"2017-10-30","No","No","Maybe","No","Maybe","Maybe","Gunked mandibles 10/24, dead 10/30"
"511","25.2","25-B3",2,19,"N. Carolina","+","Fluctuating","2017-09-23","2017-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-04","No","No","No","No","No","No","Dead 10/4"
"512","22.2","22-b1",2,20,"N. Carolina","-","Fluctuating","2017-09-28","2017-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-05","No","No","No","No","No","No","Dead 10/5"
"513","22.2","22-b2",2,20,"N. Carolina","-","Fluctuating","2017-09-28","2017-09-29","2017-10-07",0.0477,NA,NA,NA,NA,NA,NA,NA,"2017-10-27","No","No","No","No","No","No","Dying 10/25, dead 10/27"
"514","22.2","22-b3",2,20,"N. Carolina","-","Fluctuating","2017-09-28","2017-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-05","No","No","No","No","No","No","Dead 10/5"
"515","22.2","22-b4",2,20,"N. Carolina","-","Fluctuating","2017-09-28","2017-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-09","No","No","No","No","No","No","Dead 10/9"
"516","22.2","22-C1",2,20,"N. Carolina","-","Fluctuating","2017-09-30","2017-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-05","No","No","No","No","No","No","Dead 10/5"
"517","22.2","22-C2",2,20,"N. Carolina","-","Fluctuating","2017-09-30","2017-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-07","No","No","No","No","No","No","Dead 10/7"
"518","26.2","26-A1",2,21,"N. Carolina","-","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14","No","No","No","No","No","No","Dead 10/14"
"519","26.2","26-A2",2,21,"N. Carolina","-","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14","No","No","No","No","No","No","Dead 10/14"
"520","26.2","26-A3",2,21,"N. Carolina","-","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22","No","No","No","No","No","No","Dead 10/22"
"521","26.2","26-B1",2,21,"W. Australia","-","Fluctuating","2017-10-05","2017-10-06","2017-10-16",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20","No","No","No","No","No","No","Dying 10/16, dead 10/20"
"522","26.2","26-B2",2,21,"W. Australia","-","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-10","No","No","No","No","No","No","Dead 10/10"
"523","27.2","27-A1",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22","No","No","No","No","No","No","Died 10/22"
"524","27.2","27-A2",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-10","No","No","No","No","No","No","Dead 10/10"
"525","27.2","27-A3",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06","2017-10-16",0.0877,"2017-10-30",NA,"2017-11-03",18,0.0499,NA,NA,"2017-11-11","No","No","Maybe","No","Maybe","Maybe","Kinked 10/24?, Dead 11/11"
"526","27.2","27-A4",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-12","No","No","No","No","No","No","Dead 10/12"
"527","27.2","27-B1",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06","2017-10-16",0.0663,"2017-11-07","Female","2017-11-09",24,0.0363,"2017-11-17",3.328,NA,"No","No","No","No","No","No","Made it to adult"
"528","27.2","27-B2",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-12","No","No","No","No","No","No","Dead 10/12"
"529","27.2","27-B3",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-10","No","No","No","No","No","No","Dead 10/10"
"530","27.2","27-B4",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06","2017-10-12",0.1305,"2017-11-02","Male","2017-11-03",22,0.0844,"2017-11-09",4.332,NA,"No","No","No","No","No","No","Made it to adult"
"531","27.2","27-C1",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-10","No","No","No","No","No","No","Dead 10/10"
"532","27.2","27-C2",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06","2017-10-16",0.0688,"2017-11-02","Female","2017-11-03",18,0.0421,"2017-11-11",3.45,NA,"No","No","No","No","No","No","Made it to adult"
"533","27.2","27-C3",2,21,"W. Australia","+","Fluctuating","2017-10-05","2017-10-06","2017-10-20",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-24","No","No","No","No","No","No","Dead 10/24"
"534","28.2","28-A1",2,21,"N. Carolina","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.1066,"2017-10-31","Male","2017-11-02",18,0.0528,"2017-11-10",3.774,NA,"No","No","No","No","No","No","Made it to adult"
"535","28.2","28-A2",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21","No","No","No","No","No","No","Dead 10/21"
"536","28.2","28-A3",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.1032,"2017-10-31","Male","2017-11-02",18,0.0617,"2017-11-10",4.018,NA,"No","No","Maybe","No","Maybe","Maybe","10/27 drop of heamolymph, made it to adult"
"537","28.2","28-A4",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.1377,"2017-11-04","Female","2017-11-06",22,0.0748,"2017-11-14",4.351,NA,"No","No","No","No","No","No","Made it to adult"
"538","28.2","28-B1",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.1257,"2017-11-04","Female","2017-11-06",22,0.0886,"2017-11-14",4.587,NA,"No","No","No","No","No","No","Made it to adult"
"539","28.2","28-B2",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.0942,"2017-11-06","Female","2017-11-08",24,0.0637,"2017-11-18",3.915,NA,"No","No","No","No","No","No","Made it to adult"
"540","28.2","28-B3",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-19","No","No","No","No","No","No","Dying 10/17, dead 10/19"
"541","28.2","28-B4",2,21,"W. Australia","+","Constant","2017-10-06","2017-10-07","2017-10-15",0.1235,"2017-11-04",NA,"2017-11-06",22,0.0848,"2017-11-14",4.461,NA,"No","No","No","No","No","No","Made it to adult"
"542","29.2","29-A1",2,21,"N. Carolina","-","Constant","2017-10-06","2017-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17","Yes","Yes","Yes","Yes","Yes","Yes","Squished 10/17"
"543","29.2","29-A2",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-13",0.0785,NA,NA,NA,NA,NA,NA,NA,"2017-11-10","No","No","No","No","No","No","Dead 11/10"
"544","29.2","29-A3",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-15",0.0533,NA,NA,NA,NA,NA,NA,NA,"2017-11-26","No","No","No","No","No","No","Dead 11/26"
"545","29.2","29-A4",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-15",0.0737,"2017-11-06","Female","2017-11-08",24,0.0415,"2017-11-18",3.413,NA,"No","No","No","No","No","No","Made it to adult"
"546","29.2","29-B1",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-15",0.0757,"2017-11-18","Male","2017-11-20",36,0.0326,NA,NA,"2017-11-26","No","No","No","No","No","No","Dead 11/26"
"547","29.2","29-B2",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-15",0.0924,"2017-10-04","Female","2017-11-06",22,0.0546,"2017-11-14",3.821,NA,"No","No","No","No","No","No","Made it to adult"
"548","29.2","29-B3",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-13",0.0923,"2017-11-06",NA,"2017-11-08",26,0.0501,"2017-11-18",NA,NA,"No","No","No","No","No","No","Made it to adult, adult escaped from hole in well"
"549","29.2","29-B4",2,21,"W. Australia","-","Constant","2017-10-06","2017-10-07","2017-10-13",0.0987,"2017-10-31","Female","2017-11-02",20,0.073,"2017-11-14",4.254,NA,"No","No","No","No","No","No","Made it to adult"
"550","30.2","30-A1",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14","No","No","No","No","No","No","Dead 10/14"
"551","30.2","30-A2",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-12","No","No","No","No","No","No","Dead 10/12"
"552","30.2","30-A3",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14","No","No","No","No","No","No","Dead 10/14"
"553","30.2","30-A4",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08","2017-10-14",0.0458,NA,NA,NA,NA,NA,NA,NA,"2017-11-05","No","No","No","No","No","No","Dead 11/5"
"554","30.2","30-B1",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20","No","No","No","No","No","No","Dead 10/20"
"555","30.2","30-B2",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14","No","No","No","No","No","No","Dead 10/14"
"556","30.2","30-B3",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08","2017-10-20",0.0625,NA,NA,NA,NA,NA,NA,NA,"2017-11-09","No","No","No","No","No","No","Dead 11/09"
"557","30.2","30-B4",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08","2017-10-20",0.0656,"2017-11-09","Female","2017-11-11",22,0.0333,NA,NA,"2017-11-21","No","No","No","No","No","No","Dead as pupa 11/21"
"558","30.2","30-C1",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20","No","No","No","No","No","No","dead 10/20"
"559","30.2","30-C2",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-12","No","No","No","No","No","No","Dead 10/12"
"560","30.2","30-C3",2,21,"W. Australia","-","Fluctuating","2017-10-07","2017-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20","No","No","No","No","No","No","dead 10/20"
"561","29.2","29-C1",2,22,"N. Carolina","-","Constant","2017-10-12","2017-10-13","2017-10-21",0.0401,"2017-11-18","Male","2017-11-20",30,0.0287,NA,NA,"2017-12-04","No","No","Maybe","No","Maybe","Maybe","Kinkded prior to 10/27, after 10/19, Died 12/4"
"562","31.2","31-A1",2,22,"N. Carolina","+","Fluctuating","2017-10-13","2017-10-14","2017-10-22",0.0539,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","Yes","No","No brood ball to construct"
"563","31.2","31-A2",2,22,"N. Carolina","+","Fluctuating","2017-10-13","2017-10-14","2017-10-20",0.0975,"2017-11-06","Female","2017-11-07",18,0.0581,"2017-11-15",3.248,NA,"No","No","No","No","No","No","Made it to adult"
"564","31.2","31-A3",2,22,"N. Carolina","+","Fluctuating","2017-10-13","2017-10-14","2017-10-22",0.0722,"2017-11-13","Female","2017-11-15",24,0.0367,"2017-11-25",3.926,NA,"No","No","No","No","No","No","Made it to adult"
"565","32.2","32-A1",2,22,"N. Carolina","-","Fluctuating","2017-10-14","2017-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Dead 10/17, kinked 10/15"
"566","32.2","32-A2",2,22,"N. Carolina","-","Fluctuating","2017-10-14","2017-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-19","No","No","No","No","No","No","Dead 10/19"
"567","32.2","32-A3",2,22,"N. Carolina","-","Fluctuating","2017-10-14","2017-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-29","No","No","No","No","No","No","Dead 10/29"
"568","26.2","26-C1",2,22,"W. Australia","-","Fluctuating","2017-10-18","2017-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-24","No","No","No","No","No","No","Dead 10/24"
"569","26.2","26-C2",2,22,"W. Australia","-","Fluctuating","2017-10-18","2017-10-19","2017-10-30",0.0577,"2017-11-29","Male","2017-12-01",32,0.0333,NA,NA,NA,"No","No","No","No","No","No","Dead as pupa 12/9"
"570","26.2","26-C3",2,22,"N. Carolina","-","Fluctuating","2017-10-18","2017-10-19","2017-10-28",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-17","No","No","No","No","No","No","Dead 11/17"
"571","26.2","26-C4",2,22,"N. Carolina","-","Fluctuating","2017-10-18","2017-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-26","No","No","No","No","No","No","Dead 10/26"
"572","33.2","33-A1",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22","2017-10-30",0.0703,"2017-11-21","Male","2017-11-23",24,0.0375,"2017-12-03",3.252,NA,"No","No","No","No","No","No",NA
"573","33.2","33-A2",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22","2017-10-30",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-03","No","No","No","No","No","No","dead 11/3"
"574","33.2","33-A3",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-09","No","No","No","No","No","No","11/03 Still looks L2 to me (GJD), dead L2 on 11/09"
"575","33.2","33-A4",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-01","No","No","No","No","No","No","Dead 11/1"
"576","33.2","33-B1",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-30","No","No","No","No","No","No","Dead 10/30"
"577","33.2","33-B2",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-13","No","No","No","No","No","No","Dying 11/1, dead 11/3"
"578","33.2","33-B3",2,22,"W. Australia","+","Fluctuating","2017-10-21","2017-10-22","2017-10-30",0.0501,NA,NA,NA,NA,NA,NA,NA,"2017-11-15","No","Maybe","Maybe","No","Maybe","Maybe","Kinked 11/09? Dead 11/15"
"579","34.2","34-A1",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-02",0.0916,"2017-11-18","Male","2017-11-20",18,0.0517,"2017-11-30",3.801,NA,"No","No","No","No","No","No","Made it to adult"
"580","34.2","34-A2",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-02","Yes","Yes","Yes","Yes","Yes","Yes","11/02 Squished"
"581","34.2","34-A3",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-02","Yes","Yes","Yes","Yes","Yes","Yes","10/31 poked on the side of abdomen (clear drop oozed out), died 11/02"
"582","34.2","34-A4",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-04",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-14","No","No","No","No","No","No","G: 11/10 still looks like L2, dead 11/14"
"583","34.2","34-B1",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-02",0.1057,"2017-11-16","Male","2017-11-18",16,0.0735,"2017-11-28",4.366,NA,"No","No","No","No","No","No","Made it to adult"
"584","34.2","34-B2",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-06",0.0348,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","Dead 11/28"
"585","34.2","34-B3",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-04",0.1255,"2017-11-22","Male","2017-11-24",20,0.096,"2017-12-04",4.85,NA,"No","No","No","No","No","No","Made it to adult"
"586","34.2","34-B4",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-02",0.0999,"2017-11-20","Male","2017-11-22",20,0.0601,"2017-12-02",3.985,NA,"No","No","No","No","No","No","Made it to adult"
"587","34.2","34-C1",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-04",0.0782,"2017-11-20","Female","2017-11-22",18,0.0475,"2017-12-02",3.697,NA,"No","No","No","No","No","No","Made it to adult"
"588","34.2","34-C2",2,23,"N. Carolina","+","Constant","2017-10-26","2017-10-27","2017-11-04",0.0627,"2017-11-28","Female","2017-11-30",26,NA,NA,NA,"2017-12-02","No","No","No","No","No","No","11/30 maybe failed pupation, 12/2 dead pupa"
"589","35.2","35-A1",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29","2017-11-08",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-31","Yes","Yes","Yes","Yes","Yes","Yes","10/31 poked a little under head (clear drop oozed out), dead later"
"590","35.2","35-A2",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29","2017-11-02",0.102,"2017-11-18","Female","2017-11-20",18,0.0685,"2017-11-30",4.189,NA,"No","No","No","No","No","No",NA
"591","35.2","35-A3",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18","No","No","No","No","No","No","Dead 11/18"
"592","35.2","35-A4",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-08","No","No","No","No","No","No","Dead 11/8"
"593","35.2","35-B1",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No",NA
"594","35.2","35-B2",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-04","No","No","No","No","No","No","Dying 11/02"
"595","35.2","35-B3",2,23,"N. Carolina","-","Constant","2017-10-28","2017-10-29","2017-11-04",0.0768,"2017-11-20","Male","2017-11-22",18,0.0413,"2017-12-02",3.465,NA,"No","No","No","No","No","No",NA
"596","36.2","36-A1",2,24,"W. Australia","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-23","No","No","No","No","No","No","Dead 11/23"
"597","36.2","36-A2",2,24,"W. Australia","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.0868,"2017-11-27",NA,NA,NA,NA,NA,NA,"2017-12-01","No","No","No","No","No","No","Dying as PP? on 11/29, dead 12/1"
"598","36.2","36-A3",2,24,"W. Australia","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.0416,NA,NA,NA,NA,NA,NA,NA,"2017-12-07","No","No","No","No","No","No","Dead 12/7"
"599","36.2","36-A4",2,24,"W. Australia","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.0383,NA,NA,NA,NA,NA,NA,NA,"2017-11-29","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Kinked 11/09?, dead 11/29"
"600","36.2","36-B1",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-09",0.0591,NA,NA,NA,NA,NA,NA,NA,"2017-11-29","No","No","Maybe","No","Maybe","Maybe","Gunked mandibles prior to 11/27, dead 11/29"
"601","36.2","36-B2",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.1087,"2017-11-27","Male","2017-11-29",18,0.071,"2017-12-09",4.208,NA,"No","No","No","No","No","No","Made it to adult"
"602","36.2","36-B3",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.1031,"2017-11-27","Male",NA,NA,NA,NA,NA,"2017-11-29","No","No","No","No","No","No","Failed pupa 11/29"
"603","36.2","36-B4",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-09",0.1121,"2017-12-02","Female","2017-12-03",24,0.0885,"2017-12-13",4.481,NA,"Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Kinked prior to 11/07"
"604","36.2","36-C1",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-09",0.0888,"2017-12-01","Male","2017-12-03",24,0.062,"2017-12-13",4.001,NA,"No","No","No","No","No","No","Made it to adult"
"605","36.2","36-C2",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-07","No","No","No","No","No","No","Dead 11/07"
"606","36.2","36-C3",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.0683,"2017-12-06","Female","2017-12-07",26,0.0417,"2017-12-17",3.674,NA,"No","No","No","No","No","No","Made it to adult"
"607","36.2","36-C4",2,24,"N. Carolina","+","Fluctuating","2017-11-02","2017-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-11","No","No","No","No","No","No","Dead 11/11"
"608","26.2","26-A4",2,24,"N. Carolina","-","Fluctuating","2017-11-02","2017-11-03","2017-11-11",0.0858,"2017-11-29","Female","2017-12-01",20,0.0528,NA,NA,"2017-12-09","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Kinked prior to 11/07, Dead 12/9"
"609","37.2","37-A1",2,24,"W. Australia","-","Fluctuating","2017-11-03","2017-11-04","2017-11-12",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-20","No","No","No","No","No","No","Dead 11/20"
"610","37.2","37-A2",2,24,"W. Australia","-","Fluctuating","2017-11-03","2017-11-04","2017-11-10",0.0793,"2017-12-04",NA,NA,NA,NA,NA,NA,"2017-12-06","No","No","No","No","No","No","Dead 12/6"
"611","37.2","37-A3",2,24,"W. Australia","-","Fluctuating","2017-11-03","2017-11-04","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18","No","No","No","No","No","No","Dead 11/18"
"612","37.2","37-A4",2,24,"W. Australia","-","Fluctuating","2017-11-03","2017-11-04","2017-11-10",0.064,"2017-12-14",NA,"2017-12-16",36,0.0317,NA,NA,"2017-12-22","No","No","No","No","No","No","dead 12/22"
"613","37.2","37-B1",2,24,"N. Carolina","-","Fluctuating","2017-11-03","2017-11-04","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18","No","No","No","No","No","No","Dead 11/18"
"614","37.2","37-B2",2,24,"N. Carolina","-","Fluctuating","2017-11-03","2017-11-04","2017-11-12",0.0523,NA,NA,NA,NA,NA,NA,NA,"2017-11-26","No","No","No","No","No","No","Dead 11/26"
"615","37.2","37-B3",2,24,"N. Carolina","-","Fluctuating","2017-11-03","2017-11-04","2017-11-08",0.0606,"2017-11-26","Male","2017-11-28",20,0.0389,"2017-12-06",3.228,"2017-12-06","No","No","No","No","No","No","Died while eclosing (check date, I think 12/6)"
"616","38.2","38-A1",2,24,"W. Australia","+","Fluctuating","2017-11-03","2017-11-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-12","No","No","No","No","No","No","Dead 11/12"
"617","38.2","38-A2",2,24,"W. Australia","+","Fluctuating","2017-11-03","2017-11-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Animal crushed"
"618","38.2","38-A3",2,24,"W. Australia","+","Fluctuating","2017-11-03","2017-11-04","2017-11-12",0.0379,NA,NA,NA,NA,NA,NA,NA,"2017-12-02","No","No","No","No","Yes","No","Leg pulled off 11/28, dead 12/2"
"619","38.2","38-A4",2,24,"N. Carolina","+","Fluctuating","2017-11-03","2017-11-04","2017-11-10",0.0845,"2017-12-02","Female","2017-12-04",24,0.0455,"2017-12-14",3.59,NA,"No","No","No","No","No","No","Made it to adult"
"620","38.2","38-B1",2,24,"N. Carolina","+","Fluctuating","2017-11-03","2017-11-04","2017-11-10",0.1049,"2017-11-26","Female","2017-11-28",18,0.0739,"2017-12-08",4.206,NA,"No","No","No","No","No","No","Made it to adult"
"621","38.2","38-B2",2,24,"N. Carolina","+","Fluctuating","2017-11-03","2017-11-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-12","No","No","No","No","No","No","Dead 11/12"
"622","39.2","39-A1",2,24,"W. Australia","-","Fluctuating","2017-11-04","2017-11-05","2017-11-15",0.0425,NA,NA,NA,NA,NA,NA,NA,"2017-12-07","No","Maybe","Maybe","No","Maybe","Maybe","Kinked 11/17, dead 12/7"
"623","39.2","39-A2",2,24,"W. Australia","-","Fluctuating","2017-11-04","2017-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-11","No","No","No","No","No","No","Dead on 11/11"
"624","39.2","39-A3",2,24,"W. Australia","-","Fluctuating","2017-11-04","2017-11-05","2017-11-15",0.033,NA,NA,NA,NA,NA,NA,NA,"2017-11-27","No","No","No","No","No","No","Dying 11/25, dead 11/27"
"625","39.2","39-A4",2,24,"N. Carolina","-","Fluctuating","2017-11-04","2017-11-05","2017-11-17",0.0255,NA,NA,NA,NA,NA,NA,NA,"2017-11-29","No","No","No","No","No","No","Dead 11/29"
"626","39.2","39-B1",2,24,"N. Carolina","-","Fluctuating","2017-11-04","2017-11-05","2017-11-13",0.0707,"2017-11-29","Male","2017-12-01",18,0.043,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"627","39.2","39-B2",2,24,"N. Carolina","-","Fluctuating","2017-11-04","2017-11-05","2017-11-15",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-21","No","No","No","No","No","No","Dead on 11/21"
"628","39.2","39-B3",2,24,"N. Carolina","-","Fluctuating","2017-11-04","2017-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-11","No","No","No","No","No","No","Dead on 11/11"
